id	cat	title	desc	price_display	price_numeric	img1	img2	img3	img4
antik-szekreter	bútor/szekreter	antik-szekreter	"Kis szekreter lehajtható előlapos írófelülettel, szép gyökérfa furnérral és belső fiókokkal. Korának megfelelő állapot."	Induló: 90 000 Ft / Gyors: 70 000 Ft	70000	adam_butor_catalogue/antik-szekreter/IMG_0467.JPG	adam_butor_catalogue/antik-szekreter/IMG_0469.JPG	adam_butor_catalogue/antik-szekreter/IMG_0470.JPG	adam_butor_catalogue/antik-szekreter/IMG_0622.jpeg
aranyozott-es-kagyloval-diszitett-lampak	világítás/lámpa	aranyozott-es-kagyloval-diszitett-lampak	"Pár asztali lámpa, arany/bronz és kagylómozaikos oszlop test, fekete talppal. Modern foglalat."	Induló: 28 000 Ft / Gyors: 18 000 Ft	18000	adam_butor_catalogue/aranyozott-es-kagyloval-diszitett-lampak/IMG_0158.JPG	adam_butor_catalogue/aranyozott-es-kagyloval-diszitett-lampak/IMG_0159.JPG	adam_butor_catalogue/aranyozott-es-kagyloval-diszitett-lampak/IMG_0160.JPG	
csavar-szobor	dekor	csavar-szobor	Kézműves hegesztett 'csavar-szobor' két figurával és kis munkaállomással. Dekoratív asztaldísz.	Induló: 6 000 Ft / Gyors: 4 000 Ft	4000	adam_butor_catalogue/csavar-szobor/IMG_0172.JPG	adam_butor_catalogue/csavar-szobor/IMG_0173.JPG	adam_butor_catalogue/csavar-szobor/IMG_0174.JPG	
del-kelet-azsia-del-amerika-gyerta-tartok	dekor	del-kelet-azsia-del-amerika-gyerta-tartok	"Kis páros fém gyertyatartó + 7 ágú patinás gyertyatartó. Rusztikus, jól mutat egyben is."	Induló: 20 000 Ft / Gyors: 14 000 Ft	14000	adam_butor_catalogue/del-kelet-azsia-del-amerika-gyerta-tartok/IMG_0147.JPG	adam_butor_catalogue/del-kelet-azsia-del-amerika-gyerta-tartok/IMG_0148.JPG	adam_butor_catalogue/del-kelet-azsia-del-amerika-gyerta-tartok/IMG_0150.JPG	adam_butor_catalogue/del-kelet-azsia-del-amerika-gyerta-tartok/IMG_0151.JPG
del-kelet-azsia-gyerta-tarta	dekor	del-kelet-azsia-gyerta-tarta	"Délkelet-ázsiai Garuda alakos, kétágú fém gyertyatartó, lépcsős talpon. Viaszmaradványok."	Induló: 10 000 Ft / Gyors: 7 000 Ft	7000	adam_butor_catalogue/del-kelet-azsia-gyerta-tarta/IMG_0141.JPG	adam_butor_catalogue/del-kelet-azsia-gyerta-tarta/IMG_0142.JPG		
karos-szek-sarga-uj	bútor/ülőbútor	karos-szek-sarga-uj	"Modern sárga karosszék lábtartóval (szett). Tiszta kárpit, fa lábak."	Induló: 160 000 Ft / Gyors: 140 000 Ft	140000	adam_butor_catalogue/karos-szek-sarga-uj/IMG_0096.JPG	adam_butor_catalogue/karos-szek-sarga-uj/IMG_0097.JPG	adam_butor_catalogue/karos-szek-sarga-uj/IMG_0098.JPG	adam_butor_catalogue/karos-szek-sarga-uj/IMG_0099.JPG
keramia-kis-s-szobor	kerámia/porcelán	keramia-kis-s-szobor	"Kézzel formált barna kerámia nőalak, stilizált díszítéssel. Rusztikus, egyedi darab."	Induló: 7 000 Ft / Gyors: 5 000 Ft	5000	adam_butor_catalogue/keramia-kis-s-szobor/IMG_0152.JPG	adam_butor_catalogue/keramia-kis-s-szobor/IMG_0153.JPG		
ket-fotel-egy-kanape-set	bútor/ülőbútor	ket-fotel-egy-kanape-set	"3 üléses kanapé + 2 fotel szett, világos bézs kárpit. Esztétikai kopás, kanapén süllyedés."	Induló: 85 000 Ft / Gyors: 70 000 Ft	70000	adam_butor_catalogue/ket-fotel-egy-kanape-set/IMG_0111.JPG	adam_butor_catalogue/ket-fotel-egy-kanape-set/IMG_0112.JPG	adam_butor_catalogue/ket-fotel-egy-kanape-set/IMG_0514.JPG	adam_butor_catalogue/ket-fotel-egy-kanape-set/IMG_0517.JPG
ket-nemet-barok-karosszek-ket-puffal	bútor/ülőbútor	ket-nemet-barok-karosszek-ket-puffal	"Két sötétbarna német barokk/neo-barokk karosszék (puffok külön). Jó állapot, kárpit peremkopás."	Induló: 60 000 Ft / Gyors: 45 000 Ft	45000	adam_butor_catalogue/ket-nemet-barok-karosszek-ket-puffal/IMG_0102.JPG	adam_butor_catalogue/ket-nemet-barok-karosszek-ket-puffal/IMG_0103.JPG	adam_butor_catalogue/ket-nemet-barok-karosszek-ket-puffal/IMG_0612.JPG	adam_butor_catalogue/ket-nemet-barok-karosszek-ket-puffal/IMG_0613.JPG
piros-kanape	bútor/kanapé	piros-kanape	"Piros, fehér paszpollal szegélyezett 3 üléses kanapé."	Induló: 120 000 Ft / Gyors: 100 000 Ft	100000	adam_butor_catalogue/piros-kanape/IMG_0116.JPG	adam_butor_catalogue/piros-kanape/IMG_0117.JPG	adam_butor_catalogue/piros-kanape/IMG_0118.JPG	
szep-fa-karos-szek-parnazott	bútor/ülőbútor	szep-fa-karos-szek-parnazott	"Szép fa karosszék, hordó formájú háttámla, krémszínű kárpit. Jó vintage állapot."	Induló: 35 000 Ft / Gyors: 25 000 Ft	25000	adam_butor_catalogue/szep-fa-karos-szek-parnazott/IMG_0122.JPG	adam_butor_catalogue/szep-fa-karos-szek-parnazott/IMG_0123.JPG	adam_butor_catalogue/szep-fa-karos-szek-parnazott/IMG_0124.JPG	
thai-foldi-fa-szobod-dekor	dekor	thai-foldi-fa-szobod-dekor	Thaiföldi faragott Buddha-fej talpon. Dekoratív; apró karcok.	Induló: 10 000 Ft / Gyors: 7 000 Ft	7000	adam_butor_catalogue/thai-foldi-fa-szobod-dekor/IMG_0154.JPG	adam_butor_catalogue/thai-foldi-fa-szobod-dekor/IMG_0155.JPG	adam_butor_catalogue/thai-foldi-fa-szobod-dekor/IMG_0156.JPG	
